ABAB,26,30,1,43
ABAC,96,30,1,46
ABAE,12,26,2,45
ABAF,7,26,1,39
ABCA,3,23,1,43
ABCB,1,26,1,45
ABCD,128,29,2,47
ABCE,3,22,1,41
ABDB,5,24,3,43
ABDC,35,29,1,46
ABDE,1,16,3,39
ABDF,1,16,1,36
ABFA,29,25,1,40
ABFB,3,25,2,39
ABFD,55,28,16,40
ABFE,47,29,3,47
ACAB,2,22,8,37
ACAC,6,24,5,42
ACAE,6,26,1,39
ACAF,21,26,3,42
ACBA,1,24,1,38
ACBC,38,30,3,46
ACBD,112,30,1,47
ACBF,4,25,1,42
ACDB,4,21,3,39
ACDC,4,24,1,45
ACDE,1,19,3,44
ACDF,3,22,5,36
ACEA,0,10000000000,0,0
ACEC,1,17,1,39
ACED,3,22,12,39
ACEF,0,10000000000,0,0
