ABAB,398,36,16,58
ABAC,1300,36,2,66
ABAE,6,29,14,62
ABAF,1,28,26,62
ABCA,2,27,1,59
ABCB,31,30,27,63
ABCD,660,35,5,66
ABCE,25,28,1,63
ABDB,5,28,8,62
ABDC,312,35,2,66
ABDE,6,22,2,55
ABDF,7,20,1,50
ABFA,2,28,19,63
ABFB,15,29,3,58
ABFD,362,34,2,63
ABFE,811,35,9,66
ACAB,6,25,10,59
ACAC,13,28,2,62
ACAE,1,28,1,62
ACAF,3,29,2,62
ACBA,6,27,2,59
ACBC,311,36,11,66
ACBD,540,36,5,67
ACBF,12,30,1,60
ACDB,4,25,7,58
ACDC,20,28,2,63
ACDE,9,24,2,58
ACDF,1,25,13,51
ACEA,0,10000000000,0,0
ACEC,8,23,1,59
ACED,21,28,26,52
ACEF,0,10000000000,0,0
