ABAB,0,10000000000,0,0
ABAC,0,10000000000,0,0
ABAE,0,10000000000,0,0
ABAF,0,10000000000,0,0
ABCA,0,10000000000,0,0
ABCB,0,10000000000,0,0
ABCD,9,19,3,22
ABCE,1,15,5,18
ABDB,4,18,4,18
ABDC,6,19,1,21
ABDE,1,12,1,18
ABDF,5,11,1,12
ABFA,0,10000000000,0,0
ABFB,0,10000000000,0,0
ABFD,2,18,1,24
ABFE,7,19,7,19
ACAB,1,15,1,15
ACAC,2,17,3,18
ACAE,1,19,1,19
ACAF,0,10000000000,0,0
ACBA,0,10000000000,0,0
ACBC,0,10000000000,0,0
ACBD,6,20,1,22
ACBF,0,10000000000,0,0
ACDB,2,15,2,15
ACDC,4,18,4,18
ACDE,2,11,2,16
ACDF,1,16,1,21
ACEA,0,10000000000,0,0
ACEC,2,13,2,14
ACED,0,10000000000,0,0
ACEF,0,10000000000,0,0
