ACABA,1,1513,1,11619
ACABC,1,1709,1,13001
ACABD,1,1511,1,10945
ACABF,1,1891,1,11867
ACACA,1,1847,1,10527
ACACB,1,1739,1,11689
ACACD,1,1799,1,11351
ACACE,1,1721,1,8961
ACAEA,1,1691,1,9531
ACAEC,0,10000000000,0,0
ACAED,0,10000000000,0,0
ACAEF,1,1677,1,9531
ACAFA,1,1875,1,11869
ACAFB,1,1717,1,10501
ACAFD,1,2099,1,8861
ACAFE,1,2049,1,11309
ACBAB,1,1691,1,11955
ACBAC,1,1729,1,11719
ACBAE,1,1561,1,10499
ACBAF,1,1673,1,12513
ACBCA,2,1777,1,10847
ACBCB,1,1795,1,12637
ACBCD,1,1495,1,14369
ACBCE,1,1443,1,11579
ACBDB,1,1691,1,11617
ACBDC,1,1687,1,12691
ACBDE,1,2011,1,10069
ACBDF,1,1811,1,8497
ACBFA,1,1865,1,11289
ACBFB,1,1717,1,10563
ACBFD,1,1515,1,7249
ACBFE,1,2009,1,8821
ACDBA,1,1755,1,9395
ACDBC,1,1801,1,11457
ACDBD,1,1467,1,10721
ACDBF,1,1683,1,7911
ACDCA,1,1671,1,9669
ACDCB,1,1699,1,10435
ACDCD,1,1655,1,12081
ACDCE,1,1815,1,11447
ACDEA,1,2619,1,7785
ACDEC,1,1833,1,10375
ACDED,1,1881,1,10519
ACDEF,1,1857,1,9525
ACDFA,0,10000000000,0,0
ACDFB,0,10000000000,0,0
ACDFD,1,2191,1,8777
ACDFE,0,10000000000,0,0
ACEAB,0,10000000000,0,0
ACEAC,0,10000000000,0,0
ACEAE,0,10000000000,0,0
ACEAF,0,10000000000,0,0
ACECA,1,1585,1,7997
ACECB,1,1697,1,9237
ACECD,1,1721,1,9567
ACECE,1,1699,1,8685
ACEDB,1,1737,1,7905
ACEDC,1,1693,1,9073
ACEDE,1,1729,1,8921
ACEDF,1,1695,1,8243
ACEFA,0,10000000000,0,0
ACEFB,0,10000000000,0,0
ACEFD,0,10000000000,0,0
ACEFE,0,10000000000,0,0
