ABAB,1,1346,1,10166
ABAC,1,1306,1,9444
ABAE,1,1224,1,8796
ABAF,1,1208,1,10178
ABCA,1,1398,1,9576
ABCB,1,1356,1,10494
ABCD,1,1444,1,10402
ABCE,1,1252,1,8064
ABDB,1,1326,1,8876
ABDC,1,1362,1,8740
ABDE,1,1760,1,6568
ABDF,1,1250,1,5154
ABFA,1,1312,1,9484
ABFB,1,1298,1,8520
ABFD,1,1332,1,6958
ABFE,1,1530,1,9404
ACAB,1,1296,1,9240
ACAC,1,1224,1,8600
ACAE,1,1340,1,7110
ACAF,1,1352,1,8520
ACBA,1,1296,1,8446
ACBC,1,1240,1,9520
ACBD,1,1456,1,9428
ACBF,1,1276,1,8070
ACDB,1,1328,1,8630
ACDC,1,1416,1,8872
ACDE,1,1466,1,7944
ACDF,1,1768,1,5824
ACEA,0,10000000000,0,0
ACEC,1,1336,1,6872
ACED,1,1384,1,6820
ACEF,0,10000000000,0,0
