ABAB,1778,40,1,80
ABAC,4531,40,1,81
ABAE,12,32,2,83
ABAF,3,31,1,79
ABCA,18,30,3,73
ABCB,21,32,1,82
ABCD,3135,39,7,75
ABCE,63,32,31,71
ABDB,1,31,46,71
ABDC,1029,39,113,74
ABDE,2,22,11,69
ABDF,3,24,2,64
ABFA,10,29,1,82
ABFB,3,31,2,73
ABFD,1661,38,21,71
ABFE,2783,39,6,75
ACAB,14,29,1,74
ACAC,9,30,26,71
ACAE,5,32,34,70
ACAF,7,31,59,70
ACBA,46,31,1,73
ACBC,1160,40,1,81
ACBD,3334,40,223,75
ACBF,1,32,1,73
ACDB,17,27,8,71
ACDC,2,31,59,76
ACDE,3,25,7,71
ACDF,6,27,3,64
ACEA,0,10000000000,0,0
ACEC,1,25,1,70
ACED,1,28,2,70
ACEF,0,10000000000,0,0
