ABAB,151,34,2,54
ABAC,649,34,1,60
ABAE,2,27,4,58
ABAF,78,30,7,58
ABCA,28,27,1,54
ABCB,6,28,12,58
ABCD,373,33,1,62
ABCE,5,26,5,52
ABDB,1,26,1,58
ABDC,140,33,1,57
ABDE,3,19,2,49
ABDF,2,18,1,44
ABFA,2,27,8,58
ABFB,2,27,2,52
ABFD,99,32,12,52
ABFE,322,33,2,62
ACAB,5,23,2,54
ACAC,3,26,1,57
ACAE,2,27,5,52
ACAF,14,28,9,51
ACBA,3,25,1,54
ACBC,115,34,1,62
ACBD,323,34,1,63
ACBF,4,28,11,52
ACDB,12,24,12,50
ACDC,7,26,3,58
ACDE,8,22,101,50
ACDF,5,24,4,47
ACEA,0,10000000000,0,0
ACEC,9,22,27,49
ACED,1,25,11,49
ACEF,0,10000000000,0,0
