ABAB,9561,44,1,95
ABAC,19704,44,1,92
ABAE,2,34,20,95
ABAF,25,35,29,94
ABCA,39,31,2,90
ABCB,270,36,8,95
ABCD,11305,43,1,96
ABCE,602,36,1,85
ABDB,8,34,1,89
ABDC,4847,43,1,89
ABDE,4,26,28,81
ABDF,2,24,14,74
ABFA,193,33,20,95
ABFB,19,34,8,90
ABFD,8512,42,6,81
ABFE,14629,43,4,91
ACAB,109,33,4,90
ACAC,3,30,1,90
ACAE,1,33,3,81
ACAF,11,34,11,88
ACBA,177,35,2,90
ACBC,5765,44,2,97
ACBD,12974,44,1,96
ACBF,20,35,4,87
ACDB,98,31,5,86
ACDC,12,34,35,90
ACDE,44,29,1,85
ACDF,12,30,1,77
ACEA,0,10000000000,0,0
ACEC,10,28,2,83
ACED,4,32,18,82
ACEF,0,10000000000,0,0
