ABAB,1,1036,1,3664
ABAC,1,770,1,3568
ABAE,1,688,1,3426
ABAF,1,896,1,3864
ABCA,1,770,1,3124
ABCB,1,898,1,4406
ABCD,1,736,1,4178
ABCE,1,694,1,3244
ABDB,1,916,1,3482
ABDC,1,866,1,3380
ABDE,2,990,1,2384
ABDF,1,664,1,1614
ABFA,1,826,1,3620
ABFB,1,810,1,3334
ABFD,1,760,1,2622
ABFE,1,934,1,3536
ACAB,1,816,1,3304
ACAC,1,844,1,3132
ACAE,1,714,1,2598
ACAF,1,796,1,3020
ACBA,1,792,1,3212
ACBC,1,756,1,3762
ACBD,1,744,1,3608
ACBF,1,814,1,2962
ACDB,1,876,1,2924
ACDC,1,734,1,3550
ACDE,1,984,1,2984
ACDF,1,974,1,2154
ACEA,0,10000000000,0,0
ACEC,1,728,1,2638
ACED,1,752,1,2478
ACEF,0,10000000000,0,0
