ABAB,17382,46,1,105
ABAC,36595,46,4,104
ABAE,4,36,78,100
ABAF,6,36,184,99
ABCA,104,33,27,95
ABCB,2,37,1,101
ABCD,24453,45,4,102
ABCE,1047,38,3,92
ABDB,13,35,2,98
ABDC,9589,45,1,105
ABDE,11,28,2,89
ABDF,1,25,2,81
ABFA,602,35,116,100
ABFB,9,35,1,96
ABFD,18145,44,2,92
ABFE,27763,45,13,102
ACAB,171,35,14,96
ACAC,15,32,8,96
ACAE,4,35,2,92
ACAF,35,36,1,96
ACBA,1,36,13,96
ACBC,11963,46,21,103
ACBD,27361,46,11,102
ACBF,4,36,1,96
ACDB,1,30,61,91
ACDC,33,35,3,97
ACDE,158,31,22,90
ACDF,2,31,3,83
ACEA,0,10000000000,0,0
ACEC,13,30,65,87
ACED,3,32,133,87
ACEF,0,10000000000,0,0
