ABAB,1,1059,1,6429
ABAC,1,965,1,5877
ABAE,1,927,1,5089
ABAF,1,1043,1,5635
ABCA,1,939,1,5321
ABCB,1,1171,1,6033
ABCD,1,1025,1,6107
ABCE,1,867,1,4893
ABDB,1,1039,1,5261
ABDC,1,1075,1,5177
ABDE,1,1267,1,3383
ABDF,1,863,1,2789
ABFA,1,1061,1,5463
ABFB,1,969,1,4905
ABFD,1,945,1,4311
ABFE,1,1241,1,5363
ACAB,1,911,1,5017
ACAC,1,965,1,5073
ACAE,1,931,1,4119
ACAF,1,971,1,4993
ACBA,1,979,1,4833
ACBC,1,949,1,5623
ACBD,1,1087,1,5443
ACBF,1,919,1,4645
ACDB,1,955,1,4623
ACDC,1,1063,1,5229
ACDE,1,1135,1,4509
ACDF,1,1259,1,3279
ACEA,0,10000000000,0,0
ACEC,1,979,1,3819
ACED,1,983,1,3601
ACEF,0,10000000000,0,0
