ABAB,4252,42,17,85
ABAC,9708,42,3,86
ABAE,46,34,3,90
ABAF,3,33,3,88
ABCA,7,29,2,80
ABCB,121,34,1,90
ABCD,5709,41,1,83
ABCE,237,34,142,75
ABDB,8,33,1,80
ABDC,2501,41,4,81
ABDE,9,26,17,74
ABDF,2,23,11,69
ABFA,51,31,1,90
ABFB,2,32,5,82
ABFD,3521,40,106,75
ABFE,6544,41,2,83
ACAB,39,31,3,83
ACAC,8,31,1,81
ACAE,2,32,146,74
ACAF,2,32,3,81
ACBA,81,33,2,80
ACBC,2486,42,2,86
ACBD,6246,42,1,83
ACBF,1,33,1,80
ACDB,69,29,2,79
ACDC,1,32,1,85
ACDE,28,27,2,79
ACDF,19,29,3,70
ACEA,0,10000000000,0,0
ACEC,10,27,26,75
ACED,2,30,4,75
ACEF,0,10000000000,0,0
