ACABA,4351,47,1,105
ACABC,9,36,128,100
ACABD,69,37,64,101
ACABF,11242,47,1,107
ACACA,55,34,19,96
ACACB,54,36,91,101
ACACD,16608,46,1,105
ACACE,14548,45,1,98
ACAEA,2,36,2,98
ACAEC,0,10000000000,0,0
ACAED,0,10000000000,0,0
ACAEF,8803,47,4,105
ACAFA,44,38,128,100
ACAFB,9,36,34,95
ACAFD,5753,48,3,92
ACAFE,4958,45,1,104
ACBAB,20,38,1,101
ACBAC,21,38,1,102
ACBAE,608,39,6,99
ACBAF,9453,46,2,105
ACBCA,16,49,1,103
ACBCB,9,49,1,108
ACBCD,7932,50,126,109
ACBCE,25154,48,5,107
ACBDB,2,49,27,105
ACBDC,2324,50,19,110
ACBDE,25316,48,4,99
ACBDF,33022,48,1,91
ACBFA,3358,46,1,104
ACBFB,21,38,2,97
ACBFD,1195,42,1,86
ACBFE,5399,45,2,102
ACDBA,194,47,10,98
ACDBC,232,35,13,102
ACDBD,40,32,2,100
ACDBF,164,46,2,92
ACDCA,3,36,1,98
ACDCB,74,37,1,98
ACDCD,3186,46,5,106
ACDCE,6816,46,3,105
ACDEA,1,45,1,84
ACDEC,6,30,3,96
ACDED,41,35,2,97
ACDEF,8495,47,3,90
ACDFA,0,10000000000,0,0
ACDFB,0,10000000000,0,0
ACDFD,2,32,17,88
ACDFE,0,10000000000,0,0
ACEAB,0,10000000000,0,0
ACEAC,0,10000000000,0,0
ACEAE,0,10000000000,0,0
ACEAF,0,10000000000,0,0
ACECA,8,34,4,87
ACECB,10,34,25,92
ACECD,15,30,7,98
ACECE,49,32,22,91
ACEDB,2,34,2,93
ACEDC,1,35,13,93
ACEDE,3,46,3,98
ACEDF,3742,47,6,90
ACEFA,0,10000000000,0,0
ACEFB,0,10000000000,0,0
ACEFD,0,10000000000,0,0
ACEFE,0,10000000000,0,0
