ABAB,3,26,3,26
ABAC,21,26,2,33
ABAE,1,23,1,33
ABAF,4,23,3,30
ABCA,1,21,1,21
ABCB,15,24,3,33
ABCD,24,25,3,34
ABCE,7,18,4,33
ABDB,33,24,2,33
ABDC,15,25,7,35
ABDE,9,17,1,27
ABDF,1,15,4,23
ABFA,1,21,2,33
ABFB,5,23,1,25
ABFD,7,24,3,33
ABFE,22,25,1,36
ACAB,1,19,1,31
ACAC,24,23,1,32
ACAE,8,25,1,31
ACAF,1,22,1,32
ACBA,4,22,4,22
ACBC,19,26,2,36
ACBD,35,26,1,37
ACBF,1,21,3,27
ACDB,8,19,6,30
ACDC,43,24,11,33
ACDE,6,17,2,31
ACDF,3,19,1,30
ACEA,0,10000000000,0,0
ACEC,1,15,9,28
ACED,1,19,1,33
ACEF,0,10000000000,0,0
