ABAB,46,32,5,47
ABAC,243,32,1,52
ABAE,34,28,3,50
ABAF,22,28,2,51
ABCA,12,25,1,46
ABCB,200,30,1,54
ABCD,190,31,8,51
ABCE,4,25,1,48
ABDB,15,26,12,47
ABDC,82,31,1,52
ABDE,5,18,1,44
ABDF,3,17,1,39
ABFA,2,25,1,54
ABFB,7,27,1,46
ABFD,55,30,1,48
ABFE,107,31,1,55
ACAB,4,24,1,47
ACAC,17,26,2,47
ACAE,14,28,1,48
ACAF,7,26,3,47
ACBA,10,26,2,46
ACBC,55,32,1,51
ACBD,168,32,3,51
ACBF,1,27,2,48
ACDB,5,22,3,45
ACDC,15,26,14,48
ACDE,8,21,34,47
ACDF,3,23,13,39
ACEA,0,10000000000,0,0
ACEC,2,20,3,46
ACED,3,24,2,45
ACEF,0,10000000000,0,0
