ABAB,1041,38,2,73
ABAC,2507,38,3,72
ABAE,2,30,2,72
ABAF,1,30,1,70
ABCA,1,28,3,66
ABCB,9,30,1,70
ABCD,1556,37,47,70
ABCE,50,30,4,67
ABDB,44,30,7,67
ABDC,509,37,25,70
ABDE,2,23,1,64
ABDF,2,21,1,56
ABFA,1,27,1,70
ABFB,9,30,1,66
ABFD,944,36,6,67
ABFE,1436,37,54,70
ACAB,6,27,1,65
ACAC,2,28,7,67
ACAE,4,30,3,66
ACAF,6,30,9,66
ACBA,12,29,1,66
ACBC,587,38,56,70
ACBD,1440,38,25,71
ACBF,53,32,1,67
ACDB,2,25,1,65
ACDC,35,30,6,71
ACDE,1,24,2,63
ACDF,5,27,49,54
ACEA,0,10000000000,0,0
ACEC,5,25,7,64
ACED,1,27,3,64
ACEF,0,10000000000,0,0
