ABAB,0,10000000000,0,0
ABAC,0,10000000000,0,0
ABAE,0,10000000000,0,0
ABAF,0,10000000000,0,0
ABCA,0,10000000000,0,0
ABCB,0,10000000000,0,0
ABCD,1,476,1,820
ABCE,1,314,1,508
ABDB,1,360,1,464
ABDC,1,362,1,684
ABDE,1,296,1,368
ABDF,1,198,1,268
ABFA,0,10000000000,0,0
ABFB,0,10000000000,0,0
ABFD,1,276,1,316
ABFE,1,308,1,404
ACAB,1,332,1,332
ACAC,1,296,1,424
ACAE,1,316,1,316
ACAF,0,10000000000,0,0
ACBA,0,10000000000,0,0
ACBC,0,10000000000,0,0
ACBD,1,274,1,546
ACBF,0,10000000000,0,0
ACDB,1,334,1,372
ACDC,1,360,1,460
ACDE,1,234,1,444
ACDF,1,328,1,392
ACEA,0,10000000000,0,0
ACEC,1,226,1,404
ACED,0,10000000000,0,0
ACEF,0,10000000000,0,0
