ABAB,0,10000000000,0,0
ABAC,1,451,1,861
ABAE,1,489,1,795
ABAF,1,1021,1,1021
ABCA,0,10000000000,0,0
ABCB,1,759,1,957
ABCD,1,415,1,1229
ABCE,1,377,1,1089
ABDB,1,497,1,1065
ABDC,1,507,1,1111
ABDE,1,451,1,741
ABDF,1,325,1,465
ABFA,1,575,1,575
ABFB,1,511,1,825
ABFD,1,311,1,627
ABFE,1,399,1,943
ACAB,1,533,1,557
ACAC,1,357,1,835
ACAE,1,381,1,579
ACAF,1,549,1,779
ACBA,0,10000000000,0,0
ACBC,1,419,1,1109
ACBD,1,369,2,901
ACBF,1,531,1,653
ACDB,1,529,1,729
ACDC,1,503,1,1061
ACDE,1,467,1,823
ACDF,1,437,1,625
ACEA,0,10000000000,0,0
ACEC,1,319,1,697
ACED,1,327,1,693
ACEF,0,10000000000,0,0
