SeqName,Expression,InitialValue,Step,Locations
NEW_n10_211,(ab)^k ab (de)^k cedfed (ce)^k fb (fe)^k,10,8,4
NEW_n11_392,(ac)^k abdfdb (df)^k de (fd)^k fdf (ac)^k,11,8,4
